Moncton — Historical Average Length of Construction (in months) by Dwelling Type  
January 1990 to March 2024 Condo
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,**,10.0,12.0,**,10.8,
Feb 1990,**,**,**,**,**,
Mar 1990,**,**,4.5,**,4.5,
Apr 1990,**,**,**,**,**,
May 1990,**,**,**,**,**,
Jun 1990,**,**,**,**,**,
Jul 1990,**,**,**,**,**,
Aug 1990,**,12.7,**,**,12.7,
Sep 1990,**,**,**,**,**,
Oct 1990,**,13.0,7.0,**,10.0,
Nov 1990,**,**,**,**,**,
Dec 1990,**,17.0,**,**,17.0,
Jan 1991,**,**,7.6,**,7.6,
Feb 1991,**,**,**,**,**,
Mar 1991,**,**,**,**,**,
Apr 1991,**,**,13.7,**,13.7,
May 1991,**,**,**,**,**,
Jun 1991,**,**,**,**,**,
Jul 1991,**,**,**,**,**,
Aug 1991,**,**,**,**,**,
Sep 1991,**,**,**,**,**,
Oct 1991,**,**,**,**,**,
Nov 1991,**,**,**,**,**,
Dec 1991,**,6.0,**,**,6.0,
Jan 1992,**,**,**,**,**,
Feb 1992,**,0.0,**,**,0.0,
Mar 1992,**,**,**,**,**,
Apr 1992,**,**,**,**,**,
May 1992,**,**,**,**,**,
Jun 1992,**,0.0,**,**,0.0,
Jul 1992,**,**,0.0,0.0,0.0,
Aug 1992,**,0.0,**,**,0.0,
Sep 1992,**,**,**,0.0,0.0,
Oct 1992,**,0.0,0.0,**,0.0,
Nov 1992,**,**,**,**,**,
Dec 1992,**,**,**,**,**,
Jan 1993,**,**,**,**,**,
Feb 1993,**,**,**,**,**,
Mar 1993,**,**,**,**,**,
Apr 1993,**,**,0.0,**,0.0,
May 1993,**,**,**,**,**,
Jun 1993,**,**,**,0.0,0.0,
Jul 1993,**,0.0,**,**,0.0,
Aug 1993,**,**,**,**,**,
Sep 1993,**,**,**,**,**,
Oct 1993,**,**,**,**,**,
Nov 1993,**,0.0,**,**,0.0,
Dec 1993,**,0.0,0.0,**,0.0,
Jan 1994,**,2.0,**,17.0,15.1,
Feb 1994,**,3.0,18.0,**,12.0,
Mar 1994,**,**,**,**,**,
Apr 1994,**,**,**,5.0,5.0,
May 1994,**,**,**,**,**,
Jun 1994,**,7.0,**,**,7.0,
Jul 1994,**,**,**,**,**,
Aug 1994,**,**,**,**,**,
Sep 1994,**,7.0,**,**,7.0,
Oct 1994,**,**,**,**,**,
Nov 1994,**,6.0,6.3,**,6.3,
Dec 1994,**,**,**,**,**,
Jan 1995,**,**,**,17.0,17.0,
Feb 1995,**,**,8.0,**,8.0,
Mar 1995,**,**,**,**,**,
Apr 1995,**,**,**,**,**,
May 1995,**,**,**,**,**,
Jun 1995,**,**,**,**,**,
Jul 1995,**,**,**,**,**,
Aug 1995,**,**,**,**,**,
Sep 1995,**,4.0,**,**,4.0,
Oct 1995,**,4.0,**,**,4.0,
Nov 1995,**,**,**,**,**,
Dec 1995,**,**,**,**,**,
Jan 1996,**,7.0,**,**,7.0,
Feb 1996,**,**,**,8.0,8.0,
Mar 1996,**,**,**,**,**,
Apr 1996,**,7.0,**,**,7.0,
May 1996,**,**,**,**,**,
Jun 1996,**,**,**,**,**,
Jul 1996,**,**,**,**,**,
Aug 1996,**,**,**,**,**,
Sep 1996,**,**,**,**,**,
Oct 1996,**,5.0,**,**,5.0,
Nov 1996,**,**,**,**,**,
Dec 1996,**,4.0,**,**,4.0,
Jan 1997,**,**,**,**,**,
Feb 1997,**,**,**,**,**,
Mar 1997,**,**,14.0,**,14.0,
Apr 1997,**,**,**,**,**,
May 1997,**,**,**,**,**,
Jun 1997,**,**,**,**,**,
Jul 1997,**,9.0,**,**,9.0,
Aug 1997,**,**,**,**,**,
Sep 1997,**,**,**,**,**,
Oct 1997,**,**,**,**,**,
Nov 1997,**,**,**,**,**,
Dec 1997,**,**,**,**,**,
Jan 1998,**,**,**,**,**,
Feb 1998,4.0,**,**,**,4.0,
Mar 1998,**,**,**,**,**,
Apr 1998,**,**,**,**,**,
May 1998,**,5.0,**,**,5.0,
Jun 1998,**,**,**,**,**,
Jul 1998,**,**,**,**,**,
Aug 1998,**,**,**,**,**,
Sep 1998,**,**,**,**,**,
Oct 1998,**,**,**,**,**,
Nov 1998,**,2.0,**,5.0,4.4,
Dec 1998,**,2.0,**,**,2.0,
Jan 1999,**,**,**,**,**,
Feb 1999,**,**,**,**,**,
Mar 1999,**,**,**,114.0,114.0,
Apr 1999,**,**,**,**,**,
May 1999,**,**,**,**,**,
Jun 1999,**,**,**,**,**,
Jul 1999,**,**,**,**,**,
Aug 1999,**,**,**,**,**,
Sep 1999,**,**,**,**,**,
Oct 1999,**,**,**,**,**,
Nov 1999,**,**,**,**,**,
Dec 1999,**,**,**,**,**,
Jan 2000,**,**,**,**,**,
Feb 2000,**,**,**,**,**,
Mar 2000,**,**,**,**,**,
Apr 2000,**,**,**,8.0,8.0,
May 2000,**,**,**,**,**,
Jun 2000,**,**,**,**,**,
Jul 2000,**,**,**,11.0,11.0,
Aug 2000,**,**,**,5.0,5.0,
Sep 2000,**,**,**,**,**,
Oct 2000,**,**,**,**,**,
Nov 2000,**,**,**,**,**,
Dec 2000,**,**,**,**,**,
Jan 2001,**,**,**,**,**,
Feb 2001,**,**,**,**,**,
Mar 2001,**,**,**,**,**,
Apr 2001,**,**,**,**,**,
May 2001,**,15.0,**,**,15.0,
Jun 2001,**,**,**,11.0,11.0,
Jul 2001,**,**,**,**,**,
Aug 2001,**,**,**,14.0,14.0,
Sep 2001,**,**,**,15.0,15.0,
Oct 2001,**,**,**,9.0,9.0,
Nov 2001,**,**,**,12.0,12.0,
Dec 2001,**,**,6.0,4.0,4.8,
Jan 2002,**,**,**,3.6,3.6,
Feb 2002,**,**,**,**,**,
Mar 2002,**,**,**,6.0,6.0,
Apr 2002,**,**,**,**,**,
May 2002,**,**,**,8.0,8.0,
Jun 2002,**,**,**,**,**,
Jul 2002,**,**,**,**,**,
Aug 2002,**,**,**,21.0,21.0,
Sep 2002,**,**,**,**,**,
Oct 2002,**,**,**,**,**,
Nov 2002,**,**,**,**,**,
Dec 2002,**,**,**,7.0,7.0,
Jan 2003,**,**,**,**,**,
Feb 2003,**,**,**,**,**,
Mar 2003,**,**,**,**,**,
Apr 2003,**,**,**,**,**,
May 2003,**,**,**,**,**,
Jun 2003,**,**,**,**,**,
Jul 2003,**,**,**,**,**,
Aug 2003,**,**,**,**,**,
Sep 2003,**,**,**,**,**,
Oct 2003,**,**,**,**,**,
Nov 2003,**,**,**,**,**,
Dec 2003,**,**,**,**,**,
Jan 2004,**,**,**,**,**,
Feb 2004,**,**,**,15.0,15.0,
Mar 2004,**,**,**,18.0,18.0,
Apr 2004,**,**,**,**,**,
May 2004,**,**,**,**,**,
Jun 2004,**,**,**,**,**,
Jul 2004,**,**,**,**,**,
Aug 2004,**,**,**,**,**,
Sep 2004,**,**,**,**,**,
Oct 2004,**,**,**,**,**,
Nov 2004,**,**,**,**,**,
Dec 2004,**,**,**,**,**,
Jan 2005,**,**,5.0,5.0,5.0,
Feb 2005,**,**,**,**,**,
Mar 2005,**,**,**,7.0,7.0,
Apr 2005,**,**,**,**,**,
May 2005,**,**,**,**,**,
Jun 2005,**,**,9.0,**,9.0,
Jul 2005,**,7.0,**,**,7.0,
Aug 2005,**,**,**,**,**,
Sep 2005,**,**,**,**,**,
Oct 2005,**,**,**,**,**,
Nov 2005,**,**,**,**,**,
Dec 2005,**,**,**,**,**,
Jan 2006,**,**,**,**,**,
Feb 2006,**,**,**,**,**,
Mar 2006,**,**,**,**,**,
Apr 2006,**,**,**,**,**,
May 2006,**,**,**,**,**,
Jun 2006,**,**,**,**,**,
Jul 2006,**,**,**,**,**,
Aug 2006,**,10.0,**,**,10.0,
Sep 2006,**,**,**,**,**,
Oct 2006,**,**,**,**,**,
Nov 2006,**,**,**,**,**,
Dec 2006,**,**,**,8.0,8.0,
Jan 2007,**,**,**,**,**,
Feb 2007,**,**,**,**,**,
Mar 2007,**,7.0,**,**,7.0,
Apr 2007,**,**,**,**,**,
May 2007,**,6.5,**,**,6.5,
Jun 2007,**,**,**,**,**,
Jul 2007,**,8.0,**,**,8.0,
Aug 2007,**,**,**,**,**,
Sep 2007,**,**,**,**,**,
Oct 2007,**,**,**,**,**,
Nov 2007,**,**,**,**,**,
Dec 2007,**,**,**,**,**,
Jan 2008,**,**,**,**,**,
Feb 2008,**,9.0,**,**,9.0,
Mar 2008,**,6.0,**,**,6.0,
Apr 2008,**,8.5,**,**,8.5,
May 2008,**,**,**,**,**,
Jun 2008,**,7.0,**,**,7.0,
Jul 2008,**,**,12.0,**,12.0,
Aug 2008,**,**,**,**,**,
Sep 2008,**,**,**,12.0,12.0,
Oct 2008,**,**,**,**,**,
Nov 2008,**,**,**,**,**,
Dec 2008,**,6.0,**,**,6.0,
Jan 2009,**,**,7.0,**,7.0,
Feb 2009,**,**,4.0,**,4.0,
Mar 2009,**,**,**,**,**,
Apr 2009,**,**,**,**,**,
May 2009,**,**,**,**,**,
Jun 2009,**,**,**,**,**,
Jul 2009,**,**,**,6.0,6.0,
Aug 2009,**,**,**,25.0,25.0,
Sep 2009,**,11.0,**,**,11.0,
Oct 2009,**,**,**,15.0,15.0,
Nov 2009,**,5.0,**,**,5.0,
Dec 2009,**,4.0,**,**,4.0,
Jan 2010,**,**,8.0,**,8.0,
Feb 2010,**,**,**,6.0,6.0,
Mar 2010,**,**,**,6.0,6.0,
Apr 2010,**,8.0,**,**,8.0,
May 2010,**,6.0,**,**,6.0,
Jun 2010,**,**,**,**,**,
Jul 2010,**,**,**,**,**,
Aug 2010,**,**,8.0,**,8.0,
Sep 2010,**,**,**,**,**,
Oct 2010,**,**,**,**,**,
Nov 2010,**,**,13.0,**,13.0,
Dec 2010,**,**,**,**,**,
Jan 2011,**,**,8.0,**,8.0,
Feb 2011,**,**,**,**,**,
Mar 2011,**,5.0,**,**,5.0,
Apr 2011,**,**,**,**,**,
May 2011,**,8.0,**,**,8.0,
Jun 2011,**,**,**,**,**,
Jul 2011,**,**,**,**,**,
Aug 2011,**,**,**,**,**,
Sep 2011,**,**,11.0,**,11.0,
Oct 2011,**,**,**,**,**,
Nov 2011,**,**,**,**,**,
Dec 2011,**,**,**,**,**,
Jan 2012,**,**,**,6.0,6.0,
Feb 2012,**,**,**,**,**,
Mar 2012,**,**,**,**,**,
Apr 2012,**,**,**,**,**,
May 2012,**,**,**,**,**,
Jun 2012,**,**,**,**,**,
Jul 2012,**,**,**,**,**,
Aug 2012,**,**,**,**,**,
Sep 2012,**,**,**,**,**,
Oct 2012,**,**,**,**,**,
Nov 2012,**,**,13.0,11.2,11.4,
Dec 2012,**,**,**,**,**,
Jan 2013,**,**,**,**,**,
Feb 2013,**,**,**,**,**,
Mar 2013,**,**,**,**,**,
Apr 2013,**,**,**,17.0,17.0,
May 2013,**,6.0,**,**,6.0,
Jun 2013,**,**,**,**,**,
Jul 2013,**,**,**,**,**,
Aug 2013,**,**,**,**,**,
Sep 2013,**,**,**,**,**,
Oct 2013,**,**,**,**,**,
Nov 2013,**,**,**,**,**,
Dec 2013,**,**,**,15.0,15.0,
Jan 2014,**,**,**,**,**,
Feb 2014,**,**,**,**,**,
Mar 2014,**,**,**,**,**,
Apr 2014,**,**,**,**,**,
May 2014,**,**,**,**,**,
Jun 2014,**,**,**,**,**,
Jul 2014,**,**,**,**,**,
Aug 2014,**,**,**,**,**,
Sep 2014,**,**,50.0,**,50.0,
Oct 2014,**,16.0,**,**,16.0,
Nov 2014,**,**,**,**,**,
Dec 2014,**,**,**,**,**,
Jan 2015,**,**,**,**,**,
Feb 2015,**,**,**,**,**,
Mar 2015,**,**,**,**,**,
Apr 2015,**,**,8.0,**,8.0,
May 2015,**,**,**,**,**,
Jun 2015,**,**,**,**,**,
Jul 2015,**,**,12.7,**,12.7,
Aug 2015,6.0,**,**,**,6.0,
Sep 2015,**,**,**,**,**,
Oct 2015,**,**,**,**,**,
Nov 2015,**,**,**,**,**,
Dec 2015,**,**,**,**,**,
Jan 2016,**,**,**,**,**,
Feb 2016,9.0,**,**,**,9.0,
Mar 2016,**,**,**,**,**,
Apr 2016,**,**,**,**,**,
May 2016,**,**,**,**,**,
Jun 2016,6.0,**,**,**,6.0,
Jul 2016,15.0,**,38.0,**,34.7,
Aug 2016,**,**,**,**,**,
Sep 2016,**,**,**,**,**,
Oct 2016,**,**,**,**,**,
Nov 2016,**,**,**,**,**,
Dec 2016,23.0,**,**,**,23.0,
Jan 2017,12.0,**,**,**,12.0,
Feb 2017,22.0,**,**,**,22.0,
Mar 2017,**,**,**,**,**,
Apr 2017,**,**,**,**,**,
May 2017,**,**,**,**,**,
Jun 2017,**,**,**,**,**,
Jul 2017,**,**,**,**,**,
Aug 2017,20.0,**,8.0,**,9.7,
Sep 2017,21.0,**,**,**,21.0,
Oct 2017,**,**,**,**,**,
Nov 2017,**,**,**,**,**,
Dec 2017,**,**,**,**,**,
Jan 2018,**,**,**,**,**,
Feb 2018,**,**,**,**,**,
Mar 2018,**,**,**,**,**,
Apr 2018,**,**,**,**,**,
May 2018,**,**,**,**,**,
Jun 2018,**,**,**,**,**,
Jul 2018,**,**,**,**,**,
Aug 2018,**,**,**,**,**,
Sep 2018,**,**,**,**,**,
Oct 2018,**,**,**,**,**,
Nov 2018,**,**,**,**,**,
Dec 2018,**,**,**,**,**,
Jan 2019,**,**,**,**,**,
Feb 2019,**,**,**,**,**,
Mar 2019,**,**,**,**,**,
Apr 2019,**,**,**,**,**,
May 2019,**,**,8.0,**,8.0,
Jun 2019,**,**,**,**,**,
Jul 2019,**,**,**,**,**,
Aug 2019,**,**,**,**,**,
Sep 2019,**,**,**,24.0,24.0,
Oct 2019,**,**,**,**,**,
Nov 2019,**,**,**,**,**,
Dec 2019,**,**,**,**,**,
Jan 2020,**,**,**,**,**,
Feb 2020,**,**,**,**,**,
Mar 2020,**,**,8.0,**,8.0,
Apr 2020,**,**,**,**,**,
May 2020,**,**,**,**,**,
Jun 2020,**,**,**,**,**,
Jul 2020,**,**,**,**,**,
Aug 2020,**,**,**,**,**,
Sep 2020,**,**,**,**,**,
Oct 2020,**,**,**,**,**,
Nov 2020,**,**,**,**,**,
Dec 2020,**,**,**,**,**,
Jan 2021,**,**,**,**,**,
Feb 2021,**,**,**,**,**,
Mar 2021,**,**,**,**,**,
Apr 2021,**,**,**,**,**,
May 2021,**,**,**,**,**,
Jun 2021,**,**,**,**,**,
Jul 2021,**,**,**,**,**,
Aug 2021,**,**,**,**,**,
Sep 2021,**,**,**,**,**,
Oct 2021,**,**,**,**,**,
Nov 2021,**,**,**,**,**,
Dec 2021,**,**,**,**,**,
Jan 2022,**,**,**,**,**,
Feb 2022,**,**,**,14.0,14.0,
Mar 2022,**,**,**,**,**,
Apr 2022,**,**,**,**,**,
May 2022,**,**,**,**,**,
Jun 2022,**,**,**,**,**,
Jul 2022,**,**,**,**,**,
Aug 2022,**,**,**,**,**,
Sep 2022,**,**,**,**,**,
Oct 2022,**,**,**,**,**,
Nov 2022,**,**,**,**,**,
Dec 2022,**,**,**,**,**,
Jan 2023,**,**,**,**,**,
Feb 2023,**,**,**,**,**,
Mar 2023,**,**,**,**,**,
Apr 2023,**,**,**,**,**,
May 2023,**,**,**,**,**,
Jun 2023,**,**,**,**,**,
Jul 2023,**,**,**,**,**,
Aug 2023,**,**,**,**,**,
Sep 2023,**,**,**,**,**,
Oct 2023,**,**,**,**,**,
Nov 2023,**,**,**,**,**,
Dec 2023,**,**,**,**,**,
Jan 2024,**,**,**,**,**,
Feb 2024,**,**,**,**,**,
Mar 2024,**,**,**,**,**,

Source,CMHC Starts and Completions Survey
