"Guelph — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"190,000","195,000","205,000","254,000","200,000","221,755",22,
1990 February,"210,000","210,000","235,000","300,000","220,000","244,240",19,
1990 March,"240,000","245,000","295,000","310,000","250,000","266,836",44,
1990 April,"250,000","290,000","295,000","305,000","295,000","280,675",24,
1990 May,"215,000","220,000","225,000","250,000","220,000","228,753",51,
1990 June,"195,000","210,000","244,000","320,000","225,000","244,467",43,
1990 July,"243,000","280,000","311,000","320,000","290,000","280,763",32,
1990 August,"240,000","290,000","311,000","330,000","297,500","290,892",36,
1990 September,"240,000","292,000","300,000","320,000","300,000","284,391",35,
1990 October,"200,000","240,000","293,000","324,000","270,000","266,151",35,
1990 November,**,**,**,**,**,**,2,
1990 December,"188,000","210,000","300,000","315,000","222,500","249,194",18,
1991 January,"200,000","240,000","294,000","300,000","277,500","258,509",22,
1991 February,"228,000","230,000","254,000","292,000","240,000","252,300",13,
1991 March,**,**,**,**,**,**,1,
1991 April,"135,000","135,000","135,000","234,000","135,000","165,486",21,
1991 May,**,**,**,**,**,"146,900",5,
1991 June,"140,000","160,000","206,000","268,000","192,500","202,738",40,
1991 July,"190,000","200,000","228,000","290,000","205,000","223,567",15,
1991 August,"155,000","155,000","160,000","230,000","160,000","195,721",33,
1991 September,"140,000","145,000","170,000","195,000","165,000","164,568",44,
1991 October,"130,000","130,000","185,000","205,000","135,000","172,466",116,
1991 November,"157,000","298,000","315,000","330,000","312,500","269,500",10,
1991 December,**,**,**,**,**,"251,067",6,
1992 January,"170,000","190,000","215,000","225,000","210,000","205,938",26,
1992 February,**,**,**,**,**,"229,800",6,
1992 March,"165,000","175,000","180,000","181,000","180,000","186,929",28,
1992 April,"159,000","170,000","180,000","205,000","180,000","176,615",27,
1992 May,"132,000","172,000","180,000","180,000","180,000","168,148",15,
1992 June,**,**,**,**,**,"217,011",9,
1992 July,"175,000","195,000","212,000","230,000","205,000","206,400",58,
1992 August,"105,000","130,000","145,000","205,000","137,500","162,728",54,
1992 September,"105,000","130,000","170,000","200,000","147,500","160,031",34,
1992 October,"95,000","130,000","142,000","225,000","135,000","159,508",51,
1992 November,"116,000","167,000","185,000","237,000","180,000","181,152",60,
1992 December,"150,000","174,000","190,000","230,000","185,000","193,130",30,
1993 January,"157,000","180,000","190,000","216,000","185,000","189,769",26,
1993 February,**,**,**,**,**,"154,375",8,
1993 March,"154,000","180,000","218,000","268,000","187,500","213,615",20,
1993 April,"150,000","167,000","232,000","360,000","180,000","229,800",10,
1993 May,"148,000","161,000","169,000","250,000","165,000","186,750",12,
1993 June,"134,000","163,000","165,000","175,000","165,000","179,244",18,
1993 July,"135,000","140,000","150,000","237,000","150,000","173,462",13,
1993 August,"142,000","163,000","175,000","193,000","170,000","171,338",31,
1993 September,"130,000","150,000","160,000","190,000","150,000","163,416",44,
1993 October,"150,000","159,000","200,000","213,000","165,000","190,192",26,
1993 November,"150,000","150,000","200,000","230,000","175,000","186,997",29,
1993 December,"144,000","160,000","194,000","250,000","177,500","186,600",32,
1994 January,**,**,**,**,**,"179,375",8,
1994 February,"130,000","150,000","175,000","231,000","165,000","198,477",22,
1994 March,"150,000","150,000","153,000","192,000","150,000","170,573",26,
1994 April,"144,000","160,000","208,000","238,000","200,000","191,583",12,
1994 May,"157,000","169,000","195,000","213,000","185,000","187,200",26,
1994 June,"150,000","162,000","188,000","207,000","170,000","184,813",35,
1994 July,"160,000","180,000","200,000","220,000","192,500","197,204",46,
1994 August,"150,000","175,000","200,000","239,000","180,000","194,063",26,
1994 September,"176,000","190,000","220,000","291,000","200,000","250,860",55,
1994 October,"165,000","178,000","192,000","223,000","185,000","204,444",18,
1994 November,"160,000","174,000","186,000","200,000","177,500","181,815",46,
1994 December,"155,000","170,000","183,000","209,000","175,000","183,923",30,
1995 January,"169,000","186,000","200,000","224,000","195,000","198,908",12,
1995 February,"160,000","165,000","176,000","203,000","170,000","185,378",18,
1995 March,"157,000","170,000","178,000","256,000","172,500","216,625",16,
1995 April,**,**,**,**,**,"176,039",9,
1995 May,"165,000","184,000","201,000","215,000","190,000","200,727",26,
1995 June,"171,000","190,000","205,000","210,000","195,000","205,233",30,
1995 July,"160,000","183,000","207,000","215,000","195,000","195,193",43,
1995 August,"175,000","189,000","206,000","215,000","197,500","196,380",10,
1995 September,"160,000","170,000","180,000","238,000","175,000","195,662",37,
1995 October,"155,000","175,000","200,000","250,000","185,000","206,158",39,
1995 November,"150,000","169,000","185,000","211,000","172,500","181,769",26,
1995 December,"155,000","170,000","190,000","215,000","175,000","185,051",39,
1996 January,"160,000","167,000","184,000","207,000","177,500","185,725",12,
1996 February,"160,000","175,000","200,000","216,000","195,000","188,345",11,
1996 March,"150,000","161,000","180,000","221,000","175,000","192,822",18,
1996 April,"150,000","150,000","180,000","225,000","167,500","178,875",24,
1996 May,"160,000","165,000","179,000","195,000","172,500","182,591",22,
1996 June,"160,000","175,000","190,000","205,000","185,000","187,667",43,
1996 July,"150,000","155,000","166,000","175,000","160,000","168,290",51,
1996 August,"140,000","155,000","170,000","185,000","160,000","166,001",99,
1996 September,"148,000","155,000","170,000","185,000","170,000","169,065",62,
1996 October,"141,000","160,000","175,000","190,000","170,000","169,909",80,
1996 November,"150,000","165,000","170,000","192,000","170,000","181,846",52,
1996 December,"160,000","166,000","180,000","190,000","175,000","179,328",67,
1997 January,"149,000","160,000","175,000","191,000","170,000","170,479",33,
1997 February,"155,000","167,000","185,000","195,000","177,500","186,397",30,
1997 March,"145,000","160,000","180,000","195,000","170,000","174,931",59,
1997 April,"145,000","150,000","165,000","180,000","157,500","162,905",64,
1997 May,"136,000","150,000","158,000","175,000","155,000","162,762",55,
1997 June,"136,000","150,000","165,000","180,000","155,000","167,924",75,
1997 July,"145,000","160,000","170,000","180,000","165,000","167,489",107,
1997 August,"150,000","155,000","168,000","180,000","160,000","166,329",80,
1997 September,"145,000","155,000","170,000","193,000","165,000","171,479",61,
1997 October,"155,000","172,000","180,000","199,000","175,000","187,702",60,
1997 November,"159,000","183,000","190,000","211,000","190,000","191,213",38,
1997 December,"155,000","170,000","185,000","210,000","180,000","183,580",69,
1998 January,"170,000","184,000","205,000","218,000","197,500","202,568",30,
1998 February,"150,000","162,000","175,000","175,000","170,000","172,002",20,
1998 March,"160,000","172,000","185,000","229,000","180,000","192,228",35,
1998 April,"155,000","165,000","190,000","235,000","170,000","203,790",39,
1998 May,"150,000","165,000","180,000","220,000","170,000","186,235",63,
1998 June,"145,000","165,000","190,000","210,000","175,000","182,742",55,
1998 July,"150,000","165,000","182,000","200,000","175,000","185,525",98,
1998 August,"155,000","165,000","185,000","230,000","175,000","191,760",84,
1998 September,"155,000","165,000","183,000","200,000","175,000","182,055",85,
1998 October,"155,000","175,000","190,000","224,000","185,000","190,897",60,
1998 November,"135,000","155,000","200,000","250,000","177,500","194,821",54,
1998 December,"133,000","150,000","169,000","200,000","160,000","173,815",67,
1999 January,"145,000","164,000","180,000","225,000","172,500","183,953",36,
1999 February,"144,000","164,000","196,000","265,000","170,000","210,577",18,
1999 March,"150,000","165,000","180,000","200,000","175,000","185,111",51,
1999 April,"150,000","164,000","175,000","218,000","165,000","191,633",41,
1999 May,"155,000","170,000","190,000","215,000","175,000","183,890",89,
1999 June,"160,000","166,000","190,000","215,000","180,000","186,177",72,
1999 July,"165,000","175,000","195,000","220,000","185,000","197,829",80,
1999 August,"160,000","170,000","190,000","235,000","185,000","201,073",77,
1999 September,"160,000","175,000","187,000","225,000","180,000","191,487",93,
1999 October,"162,000","179,000","195,000","240,000","185,000","202,616",56,
1999 November,"165,000","176,000","200,000","239,000","185,000","199,507",67,
1999 December,"165,000","185,000","200,000","250,000","195,000","209,824",59,
2000 January,"155,000","165,000","179,000","212,000","170,000","190,902",37,
2000 February,"165,000","175,000","193,000","230,000","180,000","208,095",40,
2000 March,"165,000","175,000","195,000","223,000","185,000","202,609",73,
2000 April,"170,000","185,000","195,000","230,000","190,000","198,098",60,
2000 May,"165,000","185,000","202,000","225,000","190,000","203,241",68,
2000 June,"173,000","190,000","205,000","239,000","195,000","206,656",57,
2000 July,"172,000","190,000","201,000","235,000","195,000","208,784",96,
2000 August,"169,000","190,000","215,000","260,000","205,000","209,267",93,
2000 September,"175,000","190,000","205,000","230,000","200,000","206,720",99,
2000 October,"180,000","195,000","210,000","235,000","200,000","210,438",72,
2000 November,"175,000","190,000","200,000","232,000","192,500","208,009",72,
2000 December,"175,000","186,000","205,000","242,000","195,000","205,157",72,
2001 January,"180,000","195,000","215,000","270,000","205,000","236,462",54,
2001 February,"180,000","192,000","210,000","224,000","197,500","202,022",40,
2001 March,"173,000","195,000","205,000","220,000","202,500","204,866",42,
2001 April,"185,000","212,000","230,000","255,000","222,500","230,602",62,
2001 May,"180,000","206,000","219,000","260,000","212,500","221,853",42,
2001 June,"178,000","200,000","227,000","267,000","210,000","222,731",57,
2001 July,"180,000","210,000","225,000","260,000","215,000","226,072",72,
2001 August,"190,000","210,000","226,000","253,000","215,000","232,655",81,
2001 September,"184,000","215,000","225,000","251,000","220,000","229,042",68,
2001 October,"183,000","197,000","220,000","249,000","215,000","232,644",27,
2001 November,"180,000","200,000","215,000","260,000","210,000","229,395",39,
2001 December,"188,000","206,000","220,000","260,000","215,000","234,621",37,
2002 January,"194,000","220,000","234,000","316,000","225,000","256,388",28,
2002 February,"175,000","190,000","210,000","240,000","200,000","207,715",29,
2002 March,"210,000","230,000","270,000","319,000","250,000","267,497",40,
2002 April,"180,000","225,000","270,000","310,000","250,000","264,470",44,
2002 May,"179,000","198,000","232,000","286,000","215,000","231,957",68,
2002 June,"180,000","200,000","230,000","265,000","210,000","228,669",54,
2002 July,"187,000","215,000","260,000","290,000","235,000","243,400",76,
2002 August,"195,000","225,000","245,000","290,000","240,000","247,018",69,
2002 September,"195,000","220,000","235,000","285,000","225,000","237,822",76,
2002 October,"190,000","225,000","255,000","295,000","235,000","243,135",69,
2002 November,"193,000","225,000","250,000","297,000","235,000","244,667",62,
2002 December,"216,000","235,000","259,000","292,000","245,000","256,496",47,
2003 January,"190,000","210,000","245,000","300,000","225,000","246,201",39,
2003 February,"206,000","245,000","259,000","288,000","250,000","253,091",37,
2003 March,"198,000","230,000","244,000","277,000","235,000","240,671",47,
2003 April,"210,000","245,000","260,000","280,000","255,000","254,563",49,
