Sherbrooke — Historical Completions by Dwelling Type  
January 2007 to March 2024 Condo
,Single,Semi-Detached,Row,Apartment,All,
Jun 2018,0,0,0,8,8,
Jul 2018,0,0,0,0,0,
Aug 2018,0,0,0,0,0,
Sep 2018,0,0,0,0,0,
Oct 2018,0,0,0,0,0,
Nov 2018,0,0,0,0,0,
Dec 2018,0,0,0,0,0,
Jan 2019,0,0,0,0,0,
Feb 2019,0,0,0,0,0,
Mar 2019,0,0,0,0,0,
Apr 2019,0,0,0,0,0,
May 2019,0,0,0,0,0,
Jun 2019,0,0,0,0,0,
Jul 2019,0,0,0,0,0,
Aug 2019,0,0,0,0,0,
Sep 2019,0,0,0,10,10,
Oct 2019,0,0,0,0,0,
Nov 2019,0,0,0,0,0,
Dec 2019,0,0,0,30,30,
Jan 2020,0,0,0,0,0,
Feb 2020,0,0,0,0,0,
Mar 2020,0,0,0,0,0,
Apr 2020,0,0,0,0,0,
May 2020,0,0,0,0,0,
Jun 2020,0,0,0,0,0,
Jul 2020,0,0,0,0,0,
Aug 2020,0,0,0,0,0,
Sep 2020,0,0,0,22,22,
Oct 2020,0,0,0,0,0,
Nov 2020,0,0,0,0,0,
Dec 2020,0,0,0,5,5,
Jan 2021,0,0,0,0,0,
Feb 2021,0,0,0,0,0,
Mar 2021,0,0,0,12,12,
Apr 2021,0,0,0,0,0,
May 2021,0,0,0,0,0,
Jun 2021,0,0,0,10,10,
Jul 2021,0,0,0,0,0,
Aug 2021,0,0,0,0,0,
Sep 2021,0,0,0,9,9,
Oct 2021,0,0,0,0,0,
Nov 2021,0,0,0,0,0,
Dec 2021,0,0,0,16,16,
Jan 2022,0,0,0,12,12,
Feb 2022,0,0,0,0,0,
Mar 2022,0,0,0,0,0,
Apr 2022,0,0,0,0,0,
May 2022,0,0,0,0,0,
Jun 2022,0,0,0,19,19,
Jul 2022,0,0,0,12,12,
Aug 2022,0,0,0,0,0,
Sep 2022,0,0,0,0,0,
Oct 2022,0,0,0,0,0,
Nov 2022,0,0,0,0,0,
Dec 2022,0,0,0,0,0,
Jan 2023,0,0,0,18,18,
Feb 2023,0,0,0,0,0,
Mar 2023,0,0,0,6,6,
Apr 2023,0,0,0,6,6,
May 2023,0,0,0,0,0,
Jun 2023,0,0,0,8,8,
Jul 2023,0,0,0,0,0,
Aug 2023,0,0,0,0,0,
Sep 2023,0,0,0,24,24,
Oct 2023,0,0,0,0,0,
Nov 2023,0,0,0,0,0,
Dec 2023,0,0,0,0,0,
Jan 2024,0,0,0,0,0,
Feb 2024,0,0,0,0,0,
Mar 2024,0,0,0,6,6,

Source,CMHC Starts and Completions Survey
